Company,Shortname,Link 
Embassy Office,EOP,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/embassyofficeparksreit/EOP
Mindspace REIT,MBP02,https://www.moneycontrol.com/india/stockpricequote/mindspacebusinessparksreit/mindspacebusinessparksreit/MBP02
Brookfield REIT,BIR,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/brookfieldindiarealestatetrust/BIR
PSP Projects,PP33,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/pspprojects/PP26
Anant Raj,ARI,https://www.moneycontrol.com/india/stockpricequote/anantraj/anantraj/ARI
Capacite Infra,CI31,https://www.moneycontrol.com/india/stockpricequote/capaciteinfraprojects/capaciteinfraprojects/CI19
Anant Raj Globa,ARG,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/anantrajglobal/ARG
Karda Construct,KC19,https://www.moneycontrol.com/india/stockpricequote/kardaconstruction/kardaconstruction/KC19
BL Kashyap,BLK,https://www.moneycontrol.com/india/stockpricequote/blkashyapsons/blkashyapsons/BLK
Vascon Engineer,VE07,https://www.moneycontrol.com/india/stockpricequote/vasconengineers/vasconengineers/VE01
GeeCee Ventures,GCI05,https://www.moneycontrol.com/india/stockpricequote/geeceeventures/geeceeventures/GCI05
Nila Infra,NHI,https://www.moneycontrol.com/india/stockpricequote/nilainfrastructures/nilainfrastructures/NHI
Bigbloc Constru,BC17,https://www.moneycontrol.com/india/stockpricequote/bigblocconstruction/bigblocconstruction/BC19
TCI Developers,TCI07,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/tcidevelopers/TCI07
Ravinder Height,RH03,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/ravinderheights/RH03
Poddar Housing ,ME05,https://www.moneycontrol.com/india/stockpricequote/textilesreadymadeapparels/poddarhousingdevelopment/W13
Country Condos,NT,https://www.moneycontrol.com/india/stockpricequote/countrycondos/countrycondos/CC28
DLF,D04,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dlf/D04
Godrej Prop,GP11,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/godrejproperties/GP11
Oberoi Realty,OR,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/oberoirealty/OR
Phoenix Mills,PM02,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/phoenixmills/PM02
Prestige Estate,PEP02,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prestigeestatesprojects/PEP02
Dilip Buildcon,DB03,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/dilipbuildcon/DB04
NBCC (India),NBC,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/nbccindia/NBC01
Brigade Ent,BE08,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/brigadeenterprises/BE08
Sobha,SD6,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sobha/SD6
Sunteck Realty,IE06,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/sunteckrealty/SR05
Indiabulls Real,IRE01,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/indiabullsrealestate/IRE01
Mahindra Life,GC16,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/mahindralifespacedevelopers/MLD
Ahluwalia,ACI12,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ahluwaliacontractsindia/ACI12
Kolte-Patil,KD07,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/koltepatildevelopers/KD07
Puravankara,PP27,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/puravankara/PP01
Welspun Enter,MSK,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/welspunenterprises/MSK
Ashiana Housing,AHF01,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ashianahousing/AH07
JMC Projects,JMC,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/jmcprojectsindia/JMC
Omaxe,O02,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/omaxe/O02
DB Realty,DR,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/dbrealty/DR
Ajmera Realty,SPS01,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/ajmerarealtyinfraindia/ARI03
Unitech,U,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/unitech/U
Vipul,AF08,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/vipul/V04
Ganesh Housing,GHF,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ganeshhousingcorporation/GHC02
Parsvnath,PD05,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/parsvnathdevelopers/PD05
Arvind Smart,AI66,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/arvindsmartspaces/AI72
Prozone Intu,PCS03,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/prozoneintuproperties/PCS03
HDIL,HDI,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/housingdevelopmentinfrastructure/HDI
Marathon Realty,PSW01,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/marathonnextgenrealty/MNR
Arihant Super,SMC07,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/arihantsuperstructures/SMC07
Jaypee Infra,JI07,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/jaypeeinfratech/JI09
Peninsula Land,MGS,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/peninsulaland/PL10
Emami Realty ,EI18,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/emamirealty/EI23
Hubtown,AN,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/hubtown/AC24
Ansal Propertie,API02,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ansalpropertiesinfrastructure/API07
AMJ Land ,PPP,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP
Bhagyanagar Pro,BP13,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bhagyanagarproperties/BP13
Prajay Engineer,PES,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/prajayengineerssyndicate/PES
Ansal Housing,AHC,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/ansalhousing/AHC
Landmark Prop,LPD,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingrealestate/landmarkpropertydevelopmentcompany/LPD
Arihant Found,AFH,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/arihantfoundationshousing/AFH
Nestle,NI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/nestleindia/NI
Britannia,BI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/britanniaindustries/BI
Jubilant Food,JF04,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
Hatsun Agro,HAP,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/hatsunagroproducts/HAP
Zydus Wellness,CNA,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/zyduswellness/ZW01
Godrej Agrovet,GA08,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/godrejagrovet/GA03
Burger King,BKI01,https://www.moneycontrol.com/india/stockpricequote/consumerfood/burgerkingindia/BKI01
Hindustan Foods,HFL,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/hindustanfoods/HFL
Tasty Bite,TBE,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/tastybiteeatables/TBE
Barbeque Nat,BNH,https://www.moneycontrol.com/india/stockpricequote/consumerfood/barbequenationhospitality/BNH
Bectors Food,MBF01,https://www.moneycontrol.com/india/stockpricequote/consumerfood/mrsbectorsfoodspecialities/MBF01
ADF Foods,ADF01,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
DFM Foods,DFM,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/dfmfoods/DFM
Heritage Foods,HFI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/heritagefoods/HFI
Future Consumer,FVI,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/futureconsumer/FVI
Prataap Snacks ,PS20,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/prataapsnacks/PS20
Prabhat Dairy,PD07,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/prabhatdairy/PD07
Parag Milk Food,PMF01,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/paragmilkfoods/PMF01
Vadilal Ind,VI01,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/vadilalindustries/VI01
Gulshan Poly,GP9,https://www.moneycontrol.com/india/stockpricequote/chemicals/gulshanpolyols/GP9
IFB Agro,IFB,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/ifbagroindustries/IFB
Umang Dairies,JKD,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/umangdairies/UD01
Anik Industries,MPG,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/anikindustries/AI57
TCPL Packaging,TFC03,https://www.moneycontrol.com/india/stockpricequote/printingstationery/tcplpackaging/TCP01
Bkm industries,MI53,https://www.moneycontrol.com/india/stockpricequote/packaging/bkmindustries/MI58
Blue Dart,BDE,https://www.moneycontrol.com/india/stockpricequote/couriers/bluedartexpress/BDE
Allcargo,AGL02,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/allcargologistics/AGL02
Shreyas Shippin,SS12,https://www.moneycontrol.com/india/stockpricequote/shipping/shreyasshipping/SS12
Patel Integrate,PR,https://www.moneycontrol.com/india/stockpricequote/patelintegratedlogistics/patelintegratedlogistics/PIL05
Tube Investment,TIIND54076,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/tubeinvestmentsindialtd/TIIND54076
Atlas Cycles,ACI08,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08
Bharat Dynamics,BDL01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatdynamicsltd/BDL01
Titan Company,TI01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/titancompany/TI01
Rajesh Exports,RE07,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/rajeshexports/RE07
Vaibhav Global,VG02,https://www.moneycontrol.com/india/stockpricequote/retail/vaibhavglobal/VG02
Kalyan Jeweller,KJI01,https://www.moneycontrol.com/india/stockpricequote/diamondjewellery/kalyanjewellersindia/KJI01
PC Jeweller,PJ,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/pcjeweller/PJ
Thangamayil,TJ,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/thangamayiljewellery/TJ
Goldiam Inter,GI10,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goldiaminternational/GI10
Renaissance,RJ,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/renaissanceglobal/RJ
Tribhovandas,TBZ,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/tribhovandasbhimjizaveri/TBZ
Goenka Diamond,GDJ01,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/goenkadiamondjewels/GDJ01
Kanani Ind,IMP01,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/kananiindustries/KI26
Zodiac JRD-MKJ,ZJR,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/zodiacjrdmkj/ZJR
Lypsa Gems,LGJ,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/lypsagemsjewellery/LGJ
Grasim,GI01,https://www.moneycontrol.com/india/stockpricequote/diversified/grasimindustries/GI01
RIL Partly Paid,RIP02,https://www.moneycontrol.com/india/stockpricequote/diversified/relianceindustriespartlypaidup/RIP02
Piramal Enter,NP07,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/piramalenterprises/PH05
SRF,SRF,https://www.moneycontrol.com/india/stockpricequote/diversified/srf/SRF
3M India,B3M,https://www.moneycontrol.com/india/stockpricequote/diversified/3mindia/MI42
Linde India,BOC,https://www.moneycontrol.com/india/stockpricequote/chemicals/lindeindia/BOC
Guj State Petro,GSP02,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/gujaratstatepetronet/GSP02
DCM Shriram,DCM02,https://www.moneycontrol.com/india/stockpricequote/diversified/dcmshriram/DCM02
Birla Corp,BC07,https://www.moneycontrol.com/india/stockpricequote/cementmajor/birlacorporation/BC07
Prism Cement,PC,https://www.moneycontrol.com/india/stockpricequote/cementmajor/prismjohnson/PC
Century,CTI,https://www.moneycontrol.com/india/stockpricequote/diversified/centurytextilesindustries/CTI
Balmer Lawrie,BLC,https://www.moneycontrol.com/india/stockpricequote/diversified/balmerlawriecompany/BLC
Surya Roshni,SR01,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/suryaroshni/SR01
S H Kelkar,KC17,https://www.moneycontrol.com/india/stockpricequote/chemicals/shkelkarcompany/KC17
Kesoram,KI08,https://www.moneycontrol.com/india/stockpricequote/diversified/kesoramindustries/KI08
Texmaco Infra,T02,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/texmacoinfrastructureholdings/T02
Manaksia,M10,https://www.moneycontrol.com/india/stockpricequote/steelrolling/manaksia/M16
Oricon Ent,OC04,https://www.moneycontrol.com/india/stockpricequote/packaging/oriconenterprises/OE03
Gillanders Arbu,GAC03,https://www.moneycontrol.com/india/stockpricequote/diversified/gillandersarbuthnotco/GAC03
Beardsell,B04,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsell/B06
Pidilite Ind,PI11,https://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11
Godrej Ind,GS,https://www.moneycontrol.com/india/stockpricequote/personalcare/godrejindustries/GI23
Galaxy Surfacta,GSL06,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/galaxysurfactantsltd/GSL06
Aarti Surfactan,ASL09,https://www.moneycontrol.com/india/stockpricequote/chemicals/aartisurfactantslimited/ASL08
Vishnu Chemical,KI09,https://www.moneycontrol.com/india/stockpricequote/chemicals/vishnuchemicals/VC17
Whirlpool,WI,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/whirlpoolindia/WI
CG Consumer,CGC01,https://www.moneycontrol.com/india/stockpricequote/electricals/cromptongreavesconsumerelectrical/CGC01
Bajaj Electric,BE,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE
TTK Prestige,TTK02,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/ttkprestige/TTK02
Symphony,SCS04,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/symphony/SCS04
IFB Industries,IFB02,https://www.moneycontrol.com/india/stockpricequote/consumergoodswhitegoods/ifbindustries/IFB02
Stove Kraft,SK02,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/stovekraft/SK03
Butterfly,GA,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/butterflygandhimathiappliances/GA
PG Electroplast,PE06,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/pgelectroplast/PE06
Sudarshan Chem,SCI05,https://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08
Kiri Industries,KDC01,https://www.moneycontrol.com/india/stockpricequote/dyespigments/kiriindustries/KDC01
Vidhi Spec,VDM,https://www.moneycontrol.com/india/stockpricequote/dyespigments/vidhispecialtyfoodingredients/VDM
Bhageria Indu,BD02,https://www.moneycontrol.com/india/stockpricequote/dyespigments/bhageriaindustries/BD02
Dynemic Product,DP12,https://www.moneycontrol.com/india/stockpricequote/dyespigments/dynemicproducts/DP12
Shree Pushkar,SPC03,https://www.moneycontrol.com/india/stockpricequote/chemicals/shreepushkarchemicalsfertilisers/SPC03
Asahi Songwon,ASC01,https://www.moneycontrol.com/india/stockpricequote/dyespigments/asahisongwoncolors/ASC01
Poddar Pigments,PP15,https://www.moneycontrol.com/india/stockpricequote/dyespigments/poddarpigments/PP15
AksharChem,AI29,https://www.moneycontrol.com/india/stockpricequote/dyespigments/aksharchemindia/AI29
Zee Learn,ZL,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/zeelearn/ZL01
Career Point,CPI07,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/careerpoint/CPI05
CL Educate,CE10,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/cleducate/CE09
MT Educare,ME16,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/mteducare/ME14
Tree House,THE01,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/treehouseeducationaccessories/THE01
Siemens,S,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/siemens/S
Havells India,HI01,https://www.moneycontrol.com/india/stockpricequote/electricequipment/havellsindia/HI01
ABB India,ABB,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/abbindia/ABB
V-Guard Ind,VI16,https://www.moneycontrol.com/india/stockpricequote/electricequipment/vguardindustries/VI02
CG Power ,CG,https://www.moneycontrol.com/india/stockpricequote/electricequipment/cgpowerindustrialsolutions/CG
Suzlon Energy,SE17,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/suzlonenergy/SE17
GE T&D India,GEC,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/getdindia/ATD
Schneider Infra,SEI04,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/schneiderelectricinfrastructure/SEI04
Apar Ind,AI40,https://www.moneycontrol.com/india/stockpricequote/electricequipment/aparindustries/AI40
Inox Wind,IW,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/inoxwind/IW
Voltamp Trans,VT9,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/voltamptransformers/VT9
Igarashi Motors,CGI,https://www.moneycontrol.com/india/stockpricequote/electricequipment/igarashimotors/IM01
Honda India PP,SHP,https://www.moneycontrol.com/india/stockpricequote/electricequipment/hondaindiapowerproductslimited/HSP02
Bharat Bijlee,BB,https://www.moneycontrol.com/india/stockpricequote/electricequipment/bharatbijlee/BB
TD Power System,TPS,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/tdpowersystems/TPS01
HPL Electric & ,HEP,https://www.moneycontrol.com/india/stockpricequote/electricequipment/hplelectricpower/HEP
Veto Switch,VSC01,https://www.moneycontrol.com/india/stockpricequote/electricequipment/vetoswitchgearscables/VSC01
Transformers,TRI,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/transformersrectifiersindia/TRI
Hind Rectifiers,HR01,https://www.moneycontrol.com/india/stockpricequote/electricals/hindrectifiers/HR01
Indo Tech Trans,ITT02,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/indotechtransformers/ITT02
Kirl Electric,KEC02,https://www.moneycontrol.com/india/stockpricequote/electricequipment/kirloskarelectricco/KEC02
Ujaas Energy,S16,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/ujaasenergy/S18
Delta,DM04,https://www.moneycontrol.com/india/stockpricequote/electricals/deltamanufacturing/DM04
B C Power Contr,PC21,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/bcpowercontrols/PC13
WS Industries,WSI,https://www.moneycontrol.com/india/stockpricequote/electricequipment/wsindustries/WSI
MIC Electronics,ME12,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/micelectronics/ME12
Jiya Eco,JEP,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/jiyaecoproducts/JEP
IMP Powers,IMP,https://www.moneycontrol.com/india/stockpricequote/electricequipment/imppowers/IMP02
BGR Energy,BES,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bgrenergysystems/BES
GE Power India,ABB01,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/gepowerindia/AP29
Emco,ET01,https://www.moneycontrol.com/india/stockpricequote/electricequipment/emco/E05
Graphite India,GI13,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/graphiteindia/GI13
HEG,HEG,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/heg/HEG
Esab India,EI06,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/esabindia/EI06
Ador Welding,AO,https://www.moneycontrol.com/india/stockpricequote/electrodesgraphite/adorwelding/AW01
De Nora India,TC08,https://www.moneycontrol.com/india/stockpricequote/electricequipment/denoraindia/DNI
Honeywell Autom,TH,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsequipment/honeywellautomation/HA04
Dixon Technolog,DT07,https://www.moneycontrol.com/india/stockpricequote/electricals/dixontechnologies/DT07
Mirc Electronic,ME,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/mircelectronics/ME
Videocon Ind,VLF,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/videoconindustries/VLF
Olectra Greente,GT06,https://www.moneycontrol.com/india/stockpricequote/telecommunicationsservice/olectragreentech/GI29
Centum Electron,CMC01,https://www.moneycontrol.com/india/stockpricequote/electricals/centumelectronics/CE10
Swelect Energy,NPS,https://www.moneycontrol.com/india/stockpricequote/electricequipment/swelectenergysystems/NPS
Apollo Micro Sy,AMS,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/apollomicrosystemsltd/AMS
Websol Energy,WSL,https://www.moneycontrol.com/india/stockpricequote/electricequipment/websolenergysystem/WSL
BPL,BPL,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/bpl/BPL
Indosolar,I10,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/indosolar/I03
Surana Solar,SV04,https://www.moneycontrol.com/india/stockpricequote/electricequipment/suranasolar/SV05
Zicom,ZSS,https://www.moneycontrol.com/india/stockpricequote/electricals/zicomelectronicsecuritysystems/ZSS
L&T Technology,LTS,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/lttechnologyservices/LTS
EngineersInd,EI14,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/engineersindia/EI14
Craftsman,CA07,https://www.moneycontrol.com/india/stockpricequote/engineering/craftsmanautomation/CA04
Kennametal,WI06,https://www.moneycontrol.com/india/stockpricequote/machinetools/kennametalindia/WI06
Pitti Engineeri,PL,https://www.moneycontrol.com/india/stockpricequote/engineering/pittiengineering/PL
Alphageo,AI10,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/alphageoindia/AI10
Mold Tek Tech,MTP01,https://www.moneycontrol.com/india/stockpricequote/packaging/moldtektechnologies/MTT01
Lokesh Machines,LMS,https://www.moneycontrol.com/india/stockpricequote/machinetools/lokeshmachines/LMS
KEC Intl,KEC03,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kecinternational/KEC04
SKIL Infra,SKI,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/skilinfrastructure/SKI
KEC Intl,KEC03,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/kecinternational/KEC04
SKIL Infra,SKI,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/skilinfrastructure/SKI
Bharat Elec,BE03,https://www.moneycontrol.com/india/stockpricequote/electricals/bharatelectronics/BE03
AIA Engineering,AIE01,https://www.moneycontrol.com/india/stockpricequote/castingsforgings/aiaengineering/AIE01
Thermax,T,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/thermax/T
BHEL,BHE,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE
GMM Pfaudler,GMM01,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gmmpfaudler/GMM01
BEML,BEM,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03
Praj Industries,PI17,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/prajindustries/PI17
NESCO,NSE,https://www.moneycontrol.com/india/stockpricequote/diversified/nesco/NES
Triveni Turbine,TT12,https://www.moneycontrol.com/india/stockpricequote/electricequipment/triveniturbine/TT14
KSB Pumps,KSB,https://www.moneycontrol.com/india/stockpricequote/pumps/ksb/KSB
HLE Glascoat,SGE02,https://www.moneycontrol.com/india/stockpricequote/glassglassproducts/hleglascoat/SGE02
Greaves Cotton,G,https://www.moneycontrol.com/india/stockpricequote/engines/greavescotton/GC20
Kirloskar Oil,KOE03,https://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03
Kirloskar Bros,KB02,https://www.moneycontrol.com/india/stockpricequote/pumps/kirloskarbrothers/KB02
Action Const,ACE3,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/actionconstructionequipment/ACE3
Kirloskar Ind,KOE,https://www.moneycontrol.com/india/stockpricequote/engines/kirloskarindustries/KOE
Genus Power,GOE,https://www.moneycontrol.com/india/stockpricequote/electricals/genuspowerinfrastructures/GPI08
Everest Kanto,EKC,https://www.moneycontrol.com/india/stockpricequote/packaging/everestkantocylinder/EKC
Elecon Eng,EEC,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/eleconengineeringcompany/EEC
Salasar Techno ,STE02,https://www.moneycontrol.com/india/stockpricequote/engineering/salasartechnoengineering/STE02
United Drilling,UDT,https://www.moneycontrol.com/india/stockpricequote/uniteddrillingtools/uniteddrillingtools/UDT
TAEL,ANUP54246,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/theanupengineering/ANUP54246
Skipper,S19,https://www.moneycontrol.com/india/stockpricequote/engineering/skipper/S21
Kabra Extrusion,KET,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/kabraextrusiontechnik/KET
Hercules Hoists,HH01,https://www.moneycontrol.com/india/stockpricequote/engineering/herculeshoists/HH01
Gujarat Apollo,GAE01,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/gujaratapolloindustries/GAI03
Walchandnagar,WI01,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/walchandnagarindustries/WI01
Eimco Elecon,EEI,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/eimcoeleconindia/EEI
Windsor,DGP,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/windsormachines/WM01
Mazda,MC07,https://www.moneycontrol.com/india/stockpricequote/engineering/mazda/M14
TIL,TIL,https://www.moneycontrol.com/india/stockpricequote/engineering/til/TIL
Revathi CP,RCP,https://www.moneycontrol.com/india/stockpricequote/compressors/revathicpequipment/RCP
Lloyds Steels,LSI01,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/lloydssteelsindustries/LSI02
TRF,TRF,https://www.moneycontrol.com/india/stockpricequote/engineeringheavy/trf/TRF
Manugraph Ind,MI08,https://www.moneycontrol.com/india/stockpricequote/engineering/manugraphindustries/MI08
Nitin Fire Prot,NFP01,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/nitinfireprotectionindustries/NFP01
Bil Energy,BES01,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bilenergysystems/BES01
Premier,PA,https://www.moneycontrol.com/india/stockpricequote/engineering/premier/P10
Bharat 22 ETF,ICI15,https://www.moneycontrol.com/india/stockpricequote/bharat22etficiciprudentialamc/bharat22etficiciprudentialamc/ICI15
CPSE ETF,CPS01,https://www.moneycontrol.com/india/stockpricequote/cpseetf/cpseetf/CPS01
MOSt NASDAQ 100,MOM02,https://www.moneycontrol.com/india/stockpricequote/motilaloswalmostsharesnasdaq100etf/motilaloswalmostsharesnasdaq100etf/MOM02
MOSt M50 ETF,MOM,https://www.moneycontrol.com/india/stockpricequote/motilaloswalmostsharesm50etf/motilaloswalmostsharesm50etf/MOM
MOSt M100 ETF,MOM01,https://www.moneycontrol.com/india/stockpricequote/motilaloswalmostsharesmidcap100etf/motilaloswalmostsharesmidcap100etf/MOM01
